,etablissement,categorie,code,specialite,provenance,effectif_transfert
58,SSR MARGUERITE BOUCICAUT,Privé ,X08,Pneumologie ,CH WILLIAM MOREY CHALON SUR SAONE,63
59,SSR MARGUERITE BOUCICAUT,Privé ,,,CH JEAN BOUVERI,11
60,SSR MARGUERITE BOUCICAUT,Privé ,C04 ,"Chir. cardio-thoracique (hors transplant. d'organe), 
Pontages aorto-coronariens",HOPITAL LE BOCAGE CHRU DIJON,39
61,CRF LE BOURBONNAIS,PSPH/EBNL,X03,Neurologie médicale ,CH WILLIAM MOREY CHALON SUR SAONE,14
62,CRF LE BOURBONNAIS,PSPH/EBNL,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH DU PAYS CHAROLAIS BRIONNAIS,31
63,CRF LE BOURBONNAIS,PSPH/EBNL,X03,Neurologie médicale ,CH DU PAYS CHAROLAIS BRIONNAIS,11
64,CRF LE BOURBONNAIS,PSPH/EBNL,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CLINIQUE DU PARC,12
65,CRF LE BOURBONNAIS,PSPH/EBNL,C02,"Chirurgie du rachis, Neuro-chirurgie",HOPITAL PRIVE DIJON BOURGOGNE,11
66,CH BRESSE LOUHANNAISE,CH,X03,Neurologie médicale ,CH BRESSE LOUHANNAISE,17
67,CH BRESSE LOUHANNAISE,CH,X08,Pneumologie ,CH BRESSE LOUHANNAISE,12
68,CH BRESSE LOUHANNAISE,CH,X07,Affections Cardio-vasculaires ,CH BRESSE LOUHANNAISE,11
69,CH DE LA GUICHE,CH ,X08,Pneumologie ,CH JEAN BOUVERI,43
70,CH DE LA GUICHE,CH,X08,Pneumologie ,HOTEL-DIEU DU CREUSOT,20
71,AIHP CENTRE ARMANCON,PSPH/EBNL,X21,"Effets nocifs, alcool, toxicologie, allergies",CHS AUXERRE,30
72,CSSR LE RENOUVEAU,Privé,X21,"Effets nocifs, alcool, toxicologie, allergies",CHS AUXERRE,13
73,CSSR LE RENOUVEAU,Privé,X21,"Effets nocifs, alcool, toxicologie, allergies",CH LA CHARTREUSE,12
74,LE RECONFORT,Privé ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH AUXERRE,39
75,LE RECONFORT,Privé ,X07,Affections Cardio-vasculaires ,CH CLAMECY,25
76,LE RECONFORT,Privé ,X08,Pneumologie ,CH CLAMECY,21
77,LE RECONFORT,Privé ,X03,Neurologie médicale,CH CLAMECY,20
78,LE RECONFORT,Privé ,X06,Rhumatologie ,CH CLAMECY,18
79,LE RECONFORT,Privé ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PIERRE BEREGOVOY,14
80,CH AUXERRE,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH AUXERRE,62
81,CH AUXERRE,CH,X08,Pneumologie ,CH AUXERRE,36
82,CH AUXERRE,CH,X03,Neurologie médicale,CH AUXERRE,80
83,CH AUXERRE,CH,X07,Affections Cardio-vasculaires ,CH AUXERRE,70
84,CH AUXERRE,CH,X02,Hépato-Gastro-Entérologie ,CH AUXERRE,31
85,CH AUXERRE,CH,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH AUXERRE,17
86,CH AUXERRE,CH,X06,Rhumatologie ,CH AUXERRE,42
87,CH AUXERRE,CH,X24,"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux",CH AUXERRE,34
88,CH AUXERRE,CH,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH AUXERRE,37
89,CH AUXERRE,CH,X16,"Affections et traumatismes de la peau, gelures",CH AUXERRE,26
90,CH AUXERRE,CH,X12,Uro-Néphrologie médicale (hors Séances),CH AUXERRE,17
91,CH AUXERRE,CH,X20,Psychiatrie ,CH AUXERRE,22
92,CH AUXERRE,CH,X15,"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)",CH AUXERRE,18
93,CH AUXERRE,CH,X04,"Commotions cérébrales, Traumatismes crâniens",CH AUXERRE,12
94,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH AUXERRE,53
95,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X08,Pneumologie ,CH AUXERRE,79
96,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X03,Neurologie médicale,CH AUXERRE,32
97,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X07,Affections Cardio-vasculaires ,CH AUXERRE,27
98,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X02,Hépato-Gastro-Entérologie ,CH AUXERRE,34
99,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH AUXERRE,17
100,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X06,Rhumatologie ,CH AUXERRE,17
101,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X24,"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux",CH AUXERRE,22
102,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X23,Chimithérapie (hors séances) ,CH AUXERRE,28
103,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X16,"Affections et traumatismes de la peau, gelures",CH AUXERRE,11
104,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X12,Uro-Néphrologie médicale (hors Séances),CH AUXERRE,13
105,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X20,Psychiatrie ,CH AUXERRE,11
106,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X03,Neurologie médicale,CH SENS,11
107,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X08 ,Pneumologie ,CH JOIGNY,27
108,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,X06,Rhumatologie ,CH JOIGNY,11
109,ETABLISSEMENT SOINS DE SUITE LE PETIT PIEN,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE STE MARGUERITE,12
110,CH AVALLON,CH ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH AUXERRE,25
111,CH AVALLON,CH ,X06,Rhumatologie ,CH AVALLON,26
112,CH AVALLON,CH ,X07,Affections Cardio-vasculaires ,CH AVALLON,21
113,CH AVALLON,CH ,X08,Pneumologie ,CH AVALLON,21
114,CH AVALLON,CH ,X03,Neurologie médicale,CH AVALLON,12
115,CH AVALLON,CH ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH AVALLON,14
116,CH AVALLON,CH ,X20,Psychiatrie ,CH AVALLON,14
117,CH AVALLON,CH ,X24,"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux",CH AVALLON,12
118,CH DU TONNERROIS,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH AUXERRE,24
119,CH DU TONNERROIS,CH,X03,Neurologie médicale,CH DU TONNERROIS,22
120,CH DU TONNERROIS,CH,X06,Rhumatologie ,CH DU TONNERROIS,23
121,CH DU TONNERROIS,CH,X08,Pneumologie ,CH DU TONNERROIS,18
122,CH DU TONNERROIS,CH,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH DU TONNERROIS,16
123,CH DU TONNERROIS,CH,X07,Affections Cardio-vasculaires ,CH DU TONNERROIS,13
124,CH DU TONNERROIS,CH,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH SENS,18
125,CH DU TONNERROIS,CH,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE STE MARGUERITE,14
126,CH DU TONNERROIS,CH,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PRIVE DIJON BOURGOGNE,23
127,CH DU TONNERROIS,CH,C02,"Chirurgie du rachis, Neuro-chirurgie",HOPITAL PRIVE DIJON BOURGOGNE,28
128,CENTRE MEDICAL DE LA VENERIE,Privé ,X08,Pneumologie ,CH CLAMECY,11
129,CENTRE MEDICAL DE LA VENERIE,Privé ,X21,"Effets nocifs, alcool, toxicologie, allergies",CH DECIZE,17
130,CENTRE MEDICAL DE LA VENERIE,Privé ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PIERRE BEREGOVOY,56
131,CENTRE MEDICAL DE LA VENERIE,Privé ,X08,Pneumologie ,HOPITAL PIERRE BEREGOVOY,11
132,CENTRE MEDICAL DE LA VENERIE,Privé ,X07,Affections Cardio-vasculaires ,HOPITAL PIERRE BEREGOVOY,28
133,CENTRE MEDICAL DE LA VENERIE,Privé ,X02,Hépato-Gastro-Entérologie ,HOPITAL PIERRE BEREGOVOY,13
134,CENTRE MEDICAL DE LA VENERIE,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOPITAL PIERRE BEREGOVOY,16
135,CENTRE MEDICAL DE LA VENERIE,Privé ,X05 ,"
Traumatologie et ablation de matériel de l'appareil locomoteur",HOPITAL PIERRE BEREGOVOY,13
136,CENTRE MEDICAL DE LA VENERIE,Privé ,X21,"Effets nocifs, alcool, toxicologie, allergies",HOPITAL PIERRE BEREGOVOY,13
137,CENTRE MEDICAL DE LA VENERIE,Privé ,K05,"Cathétérismes vasculaires diagnostiques
 et interventionnels",HOPITAL PIERRE BEREGOVOY,13
138,CH REG UNIVERSITAIRE DIJON,CHR/U ,X08,Pneumologie ,CH REG UNIVERSITAIRE DIJON,90
139,CH REG UNIVERSITAIRE DIJON,CHR/U ,X07,Affections Cardio-vasculaires ,CH REG UNIVERSITAIRE DIJON,68
140,CH REG UNIVERSITAIRE DIJON,CHR/U ,X20 ,Psychiatrie ,CH REG UNIVERSITAIRE DIJON,59
141,CH REG UNIVERSITAIRE DIJON,CHR/U ,X03 ,Neurologie médicale ,CH REG UNIVERSITAIRE DIJON,49
142,CH REG UNIVERSITAIRE DIJON,CHR/U ,X06 ,Rhumatologie ,CH REG UNIVERSITAIRE DIJON,36
143,CH REG UNIVERSITAIRE DIJON,CHR/U ,X02 ,Hépato-Gastro-Entérologie ,CH REG UNIVERSITAIRE DIJON,34
144,CH REG UNIVERSITAIRE DIJON,CHR/U ,X12 ,Uro-Néphrologie médicale (hors Séances),CH REG UNIVERSITAIRE DIJON,21
145,CH REG UNIVERSITAIRE DIJON,CHR/U ,X14,"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID",CH REG UNIVERSITAIRE DIJON,13
146,SSR EDITH CAVELL,Privé ,X07,Affections Cardio-vasculaires ,CH REG UNIVERSITAIRE DIJON,22
147,SSR EDITH CAVELL,Privé ,X20 ,Psychiatrie ,CH REG UNIVERSITAIRE DIJON,23
148,SSR EDITH CAVELL,Privé ,X03 ,Neurologie médicale ,CH REG UNIVERSITAIRE DIJON,14
149,SSR EDITH CAVELL,Privé ,X06 ,Rhumatologie ,CH REG UNIVERSITAIRE DIJON,12
150,SSR EDITH CAVELL,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL LE BOCAGE CHRU DIJON,30
151,SSR EDITH CAVELL,Privé ,X08 ,Pneumologie ,HOPITAL LE BOCAGE CHRU DIJON,37
152,SSR EDITH CAVELL,Privé ,X03 ,Neurologie médicale ,HOPITAL LE BOCAGE CHRU DIJON,15
153,SSR EDITH CAVELL,Privé ,X06 ,Rhumatologie ,HOPITAL LE BOCAGE CHRU DIJON,20
154,SSR EDITH CAVELL,Privé ,X07 ,Affections Cardio-vasculaires ,HOPITAL LE BOCAGE CHRU DIJON,26
155,SSR EDITH CAVELL,Privé ,X02 ,Hépato-Gastro-Entérologie ,HOPITAL LE BOCAGE CHRU DIJON,23
156,SSR EDITH CAVELL,Privé ,X12 ,Uro-Néphrologie médicale (hors Séances),HOPITAL LE BOCAGE CHRU DIJON,13
157,SSR EDITH CAVELL,Privé ,C06,"Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum",HOPITAL LE BOCAGE CHRU DIJON,23
158,SSR EDITH CAVELL,Privé ,X14,"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID",HOPITAL LE BOCAGE CHRU DIJON,12
159,SSR EDITH CAVELL,Privé,X08,Pneumologie ,CLINIQUE MEDICO-CHIRURGICALE,20
160,SSR EDITH CAVELL,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CLINIQUE MEDICO-CHIRURGICALE,13
161,SSR EDITH CAVELL,Privé,C07,"Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies",CLINIQUE MEDICO-CHIRURGICALE,16
162,SSR EDITH CAVELL,Privé,X02,Hépato-Gastro-Entérologie,CLINIQUE MEDICO-CHIRURGICALE,13
163,SSR EDITH CAVELL,Privé,C19,Chirurgie Urologique,CLINIQUE MEDICO-CHIRURGICALE,11
164,SSR EDITH CAVELL,Privé,X03,Neurologie médicale,CLINIQUE MEDICO-CHIRURGICALE,11
165,SSR EDITH CAVELL,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PRIVE DIJON BOURGOGNE,44
166,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL LE BOCAGE CHRU DIJON,86
167,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,X08 ,Pneumologie ,HOPITAL LE BOCAGE CHRU DIJON,67
168,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,X03 ,Neurologie médicale ,HOPITAL LE BOCAGE CHRU DIJON,85
169,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOPITAL LE BOCAGE CHRU DIJON,43
170,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,C02 ,"Chirugie du rachis, Neuro-chirurgie ",HOPITAL LE BOCAGE CHRU DIJON,33
171,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,C04 ,"Chir. cardio-thoracique (hors transplant. d'organe), 
Pontages aorto-coronariens",HOPITAL LE BOCAGE CHRU DIJON,37
172,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,X06 ,Rhumatologie ,HOPITAL LE BOCAGE CHRU DIJON,15
173,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,X07 ,Affections Cardio-vasculaires ,HOPITAL LE BOCAGE CHRU DIJON,18
174,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,K05,"Cathétérismes vasculaires diagnostiques
 et interventionnels",HOPITAL LE BOCAGE CHRU DIJON,25
175,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,X12 ,Uro-Néphrologie médicale (hors Séances),HOPITAL LE BOCAGE CHRU DIJON,12
176,HOPITAL LE BOCAGE CHRU DIJON,CHR/U ,C14,Chirurgie vasculaire ,HOPITAL LE BOCAGE CHRU DIJON,12
177,C.R.B LES ROSIERS,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL LE BOCAGE CHRU DIJON,74
178,C.R.B LES ROSIERS,Privé ,X08 ,Pneumologie ,HOPITAL LE BOCAGE CHRU DIJON,22
179,C.R.B LES ROSIERS,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOPITAL LE BOCAGE CHRU DIJON,26
180,C.R.B LES ROSIERS,Privé ,X06 ,Rhumatologie ,HOPITAL LE BOCAGE CHRU DIJON,13
181,C.R.B LES ROSIERS,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE DU PARC DREVON,11
182,C.R.B LES ROSIERS,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PRIVE DIJON BOURGOGNE,269
183,C.R.B LES ROSIERS,Privé ,C02,"Chirurgie du rachis, Neuro-chirurgie",HOPITAL PRIVE DIJON BOURGOGNE,17
184,C.R.B LES ROSIERS,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, amputations",HOPITAL PRIVE DIJON BOURGOGNE,26
185,C.R.B LES ROSIERS,Privé ,C10 ,"Arthroscopies, Biopsies ostéo-articulaires",HOPITAL PRIVE DIJON BOURGOGNE,30
186,CENTRE DE CONVALESCENCE,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL LE BOCAGE CHRU DIJON,55
187,CENTRE DE CONVALESCENCE,Privé ,X08 ,Pneumologie ,HOPITAL LE BOCAGE CHRU DIJON,46
188,CENTRE DE CONVALESCENCE,Privé ,X03 ,Neurologie médicale ,HOPITAL LE BOCAGE CHRU DIJON,13
189,CENTRE DE CONVALESCENCE,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOPITAL LE BOCAGE CHRU DIJON,13
190,CENTRE DE CONVALESCENCE,Privé ,X06 ,Rhumatologie ,HOPITAL LE BOCAGE CHRU DIJON,22
191,CENTRE DE CONVALESCENCE,Privé ,X07 ,Affections Cardio-vasculaires ,HOPITAL LE BOCAGE CHRU DIJON,28
192,CENTRE DE CONVALESCENCE,Privé ,X02 ,Hépato-Gastro-Entérologie ,HOPITAL LE BOCAGE CHRU DIJON,17
193,CENTRE DE CONVALESCENCE,Privé ,X12 ,Uro-Néphrologie médicale (hors Séances),HOPITAL LE BOCAGE CHRU DIJON,12
194,CENTRE DE CONVALESCENCE,Privé ,X05 ,"
Traumatologie et ablation de matériel de l'appareil locomoteur",HOPITAL LE BOCAGE CHRU DIJON,17
195,CENTRE DE CONVALESCENCE,Privé ,X14,"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID",HOPITAL LE BOCAGE CHRU DIJON,13
196,CENTRE DE CONVALESCENCE,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PRIVE DIJON BOURGOGNE,33
197,CENTRE DE CONVALESCENCE,Privé ,C02,"Chirurgie du rachis, Neuro-chirurgie",HOPITAL PRIVE DIJON BOURGOGNE,16
198,CRF DIVIO,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL LE BOCAGE CHRU DIJON,46
199,CRF DIVIO,Privé ,X08 ,Pneumologie ,HOPITAL LE BOCAGE CHRU DIJON,12
200,CRF DIVIO,Privé ,X03 ,Neurologie médicale ,HOPITAL LE BOCAGE CHRU DIJON,43
201,CRF DIVIO,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOPITAL LE BOCAGE CHRU DIJON,23
202,CRF DIVIO,Privé ,C02 ,"Chirugie du rachis, Neuro-chirurgie ",HOPITAL LE BOCAGE CHRU DIJON,24
203,CRF DIVIO,Privé ,C12,Traumatismes multiples graves,HOPITAL LE BOCAGE CHRU DIJON,14
204,CRF DIVIO,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE DU PARC DREVON,12
205,CRF DIVIO,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PRIVE DIJON BOURGOGNE,141
