Finess;Raison sociale;Catégorie;Provenance ;Nb de transferts
210987046;CENTRE DE CONVALESCENCE;Privé;CHRU LE BOCAGE DIJON ;306
210986741;SA MAISON DE JOUVENCE;Privé;CH REG UNIVERSITAIRE DIJ;21
210986741;SA MAISON DE JOUVENCE;Privé;CHRU LE BOCAGE DIJON ;271
210987640;CH D'AUXONNE;CH;CH REG UNIVERSITAIRE DIJ;16
210987640;CH D'AUXONNE;CH;CHRU LE BOCAGE DIJON ;72
210987558;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U;CH REG UNIVERSITAIRE DIJ;14
210987558;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U;CHRU LE BOCAGE DIJON ;520
210987582;CH D'IS-SUR-TILLE;CH;CH REG UNIVERSITAIRE DIJ;13
210987582;CH D'IS-SUR-TILLE;CH;CHRU LE BOCAGE DIJON ;63
210780144;CRF DIVIO;Privé;CHRU LE BOCAGE DIJON ;205
210780292;C.R.B. LES ROSIERS;Privé;CHRU LE BOCAGE DIJON ;186
210987673;CH HCO SITE DE MONTBARD;CH;CHRU LE BOCAGE DIJON ;48
210987673;CH HCO SITE DE MONTBARD;CH;CH ROBERT MORLEVAT;231
210987673;CH HCO SITE DE MONTBARD;CH;CH HCO SITE DE MONTBARD;225
210987665;CH HCO SITE DE CHATILLON SUR SEINE;CH;CHRU LE BOCAGE DIJON ;37
210987665;CH HCO SITE DE CHATILLON SUR SEINE;CH;CH HCO SITE DE CHATILLON SUR SEINE;80
210987665;CH HCO SITE DE CHATILLON SUR SEINE;CH;CH ROBERT MORLEVAT;41
390000172;CENTRE MÉDICAL LA GRANGE/MONT;PSPH/EBNL;CHRU LE BOCAGE DIJON ;27
210987657;HOSPICES CIVILS DE BEAUNE;CH;CHRU LE BOCAGE DIJON ;16
210987657;HOSPICES CIVILS DE BEAUNE;CH;HOSPICES CIVILS DE BEAUNE ;397
210007399;SARL JOUVENCE NUTRITION;Privé;CHRU LE BOCAGE DIJON ;14
520000027;CH DE CHAUMONT;CH;CHRU LE BOCAGE DIJON ;12
520000027;CH DE CHAUMONT;CH;CH DE CHAUMONT;210
100000116;CH DE BAR SUR AUBE;CH;CH DE CHAUMONT;17
520000035;HÔPITAL DE JOINVILLE;CH;CH DE CHAUMONT;15
520000043;CH DE LANGRES;CH;CH DE LANGRES;223
520780156;CLINIQUE DE LA COMPASSION;Privé;CH DE LANGRES;22
520000019;CH DE BOURBONNE-LES-BAINS;CH;CH DE LANGRES;16
210987681;CH HCO SITE DE SAULIEU;CH;CH HCO SITE DE SAULIEU;118
210987681;CH HCO SITE DE SAULIEU;CH;CH ROBERT MORLEVAT;119
710978289;CH LES CHANAUX MACON;CH;CH LES CHANAUX MACON;406
710780081;KORIAN LE TINAILLER;Privé;CH LES CHANAUX MACON;310
710978131;CH DU CLUNISOIS;CH;CH LES CHANAUX MACON;206
710978131;CH DU CLUNISOIS;CH;CH DU CLUNISOIS;34
10000131;CHIC AIN VAL DE SAONE - THOISSEY;CH;CH LES CHANAUX MACON;159
10000107;CH DE PONT DE VAUX;CH;CH LES CHANAUX MACON;111
10000115;CHIC AIN VAL DE SAONE - PONT VEYLE;CH;CH LES CHANAUX MACON;104
710010067;CH DU PAYS CHAROLAIS BRIONNAIS;CH;CH LES CHANAUX MACON;17
710010067;CH DU PAYS CHAROLAIS BRIONNAIS;CH;CH DU PAYS CHAROLAIS BRIONNAIS;696
690000591;CH DE BEAUJEU;CH;CH LES CHANAUX MACON;16
710978271;CH PAYS CHAROLAIS BRIONNAIS CHAROLLES;CH;CH LES CHANAUX MACON;15
710978271;CH PAYS CHAROLAIS BRIONNAIS CHAROLLES;CH;CH DU PAYS CHAROLAIS BRIONNAIS;278
710978271;CH PAYS CHAROLAIS BRIONNAIS CHAROLLES;CH;CH PAYS CHAROLAIS BRIONNAIS LA CLAYETT;41
10002129;CR LES ARBELLES;Privé;CH LES CHANAUX MACON;12
710006859;POLYCLINIQUE DU VAL DE SAONE;Privé;CH LES CHANAUX MACON;11
710978255;CH ALIGRE BOURBON LANCY;CH;CH ALIGRE BOURBON LANCY;108
710978255;CH ALIGRE BOURBON LANCY;CH;CH DU PAYS CHAROLAIS BRIONNAIS;30
580972677;CH COSNE COURS SUR LOIRE;CH;CH COSNE COURS SUR LOIRE;99
580972677;CH COSNE COURS SUR LOIRE;CH;HÔPITAL PIERRE BEREGOVOY;46
580972685;CH DECIZE;CH;CH DECIZE;196
580972685;CH DECIZE;CH;HÔPITAL PIERRE BEREGOVOY;32
580006286;CLINEA;Privé;HÔPITAL PIERRE BEREGOVOY;328
580006286;CLINEA;Privé;CENTRE COLBERT MEDECINE ET SSR ;12
580972693;HÔPITAL PIERRE BEREGOVOY;CH;HÔPITAL PIERRE BEREGOVOY;81
410000418;INSTITUT MEDICAL DE SOLOGNE;Privé;HÔPITAL PIERRE BEREGOVOY;22
580972628;MOYEN SEJOUR PIGNELIN;CH;CENTRE COLBERT MEDECINE ET SSR ;12
580972651;CH CHATEAU-CHINON;CH;CH CHATEAU-CHINON;65
890973258;MOYEN SEJOUR CH SENS;CH;CH SENS ;315
890973258;MOYEN SEJOUR CH SENS;CH;CH JOIGNY ;13
890000292;MAISON DE REPOS STE COLOMBE;Privé;CH SENS ;236
890975501;HL R BONNION VILLENEUVE-SUR-YONNE;CH;CH SENS ;172
890975543;CH JOIGNY;CH;CH SENS ;48
890975543;CH JOIGNY;CH;CH JOIGNY ;149
100007285;CRF INSTITUT ASCLEPIADE;Privé;CH SENS ;37
100010362;GCS PLAT AVAL TERR CHAMP SUD CRF PAST;Privé;CH SENS ;19
450000526;CMPR L'A.D.A.P.T. LOIRET;PSPH/EBNL;CH SENS ;14
100010933;GCS PATCS CRRF PASTEUR 2;Privé;CH SENS ;13
