Nom_GHT;Etablissement;Rang;Code;Groupe Plannification;Nb séjour / Séances;Nb de jours;Age moyen;% Age>75;% lourd;Transferts SSR (Nombre de séjours chainés et tranférés vers un établissement SSR) ;Etablissement SSR de transfert ;Catégorie ;Nb de transferts;is_in_GHT;transfer_interne
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;13;X21;Effets nocifs, alcool, toxicologie, allergies;151;215;49.2;9.3;1.99;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;14;X14;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;129;752;76.8;60.5;22.48;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;16;X09;ORL, Stomato;96;283;53.7;35.4;11.46;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;17;X15;Diabète, Maladies métaboliques, Endocrinologie (hors complications);92;712;64.5;40.2;33.70;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;18;O03;IVG;79;2;29.8;0.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;19;S03;Chimiothérapie pour aff. Non tumorale;74;0;25.8;8.1;0.00;NA;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;20;O04;Obstétrique autre;73;76;30.2;0.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;21;X24;Médecine inter spécialités, Autres symptômes ou motifs médicaux;69;235;72.3;58.0;4.35;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;22;X19;Fièvre, Infection, Septicémie, VIH;60;341;54.3;33.3;28.33;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;23;O02;Césariennes;44;223;31.7;0.0;2.27;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;24;X22;Douleur et soins palliatifs;37;680;77.3;62.2;10.81;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;25;K10;Aff. génito-urinaires avec Acte classant non opératoire et endoscopies;35;4;57.7;8.6;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;26;C17;Chirurgie Gynécologique;33;40;47.5;3.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;27;X18;Suivi thérap. d'affections connues, Allergologie, Rééducation, Convalescence;29;85;59.9;41.4;13.79;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;28;X13;Appareil génital masculin;26;175;70.3;61.5;38.46;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;29;K12;Explorations nocturnes, séjours de moins de 2 jours;25;25;51.2;24.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;30;X04;Commotions cérébrales, Traumatismes crâniens;24;180;68.8;50.0;29.17;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;31;X11;Gynécologie, Sénologie (hors Obstétrique);18;47;52.3;27.8;16.67;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;32;X17;Brûlures;11;10;25.8;9.1;9.09;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;21;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;637;4825;76.8;57.3;20.57;272;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;78;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;21;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;637;4825;76.8;57.3;20.57;272;CH WILLIAM MOREY CHALON SUR SAONE;CH;49;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;21;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;637;4825;76.8;57.3;20.57;272;CENTRE SSR DU CHALONNAIS;Privé;35;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;21;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;637;4825;76.8;57.3;20.57;272;KORIAN LA BRESSANE;Privé;25;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;21;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;637;4825;76.8;57.3;20.57;272;CH JEAN BOUVERI;CH;18;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;21;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;637;4825;76.8;57.3;20.57;272;CH BELNAY;CH;13;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;21;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;637;4825;76.8;57.3;20.57;272;Autres ES Effectif<11;;54;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;5;X03;Neurologie médicale;2004;11933;61.0;30.4;24.35;257;SSR MARGUERITE BOUCICAUT;Privé;133;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;5;X03;Neurologie médicale;2004;11933;61.0;30.4;24.35;257;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;32;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;5;X03;Neurologie médicale;2004;11933;61.0;30.4;24.35;257;CH WILLIAM MOREY CHALON SUR SAONE;CH;28;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;5;X03;Neurologie médicale;2004;11933;61.0;30.4;24.35;257;CRF LE BOURBONNAIS;PSPH/EBNL;14;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;5;X03;Neurologie médicale;2004;11933;61.0;30.4;24.35;257;Autres ES Effectif<11;;50;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;3;X08;Pneumologie;2348;16265;60.8;36.0;36.58;214;CH WILLIAM MOREY CHALON SUR SAONE;CH;85;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;3;X08;Pneumologie;2348;16265;60.8;36.0;36.58;214;SSR MARGUERITE BOUCICAUT;Privé;63;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;3;X08;Pneumologie;2348;16265;60.8;36.0;36.58;214;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;22;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;3;X08;Pneumologie;2348;16265;60.8;36.0;36.58;214;CENTRE SSR DU CHALONNAIS;Privé;12;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;3;X08;Pneumologie;2348;16265;60.8;36.0;36.58;214;Autres ES Effectif<11;;32;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;7;X07;Affections Cardio-vasculaires;1645;9496;70.4;46.1;27.96;97;CH WILLIAM MOREY CHALON SUR SAONE;CH;26;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;7;X07;Affections Cardio-vasculaires;1645;9496;70.4;46.1;27.96;97;SSR MARGUERITE BOUCICAUT;Privé;26;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;7;X07;Affections Cardio-vasculaires;1645;9496;70.4;46.1;27.96;97;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;24;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;7;X07;Affections Cardio-vasculaires;1645;9496;70.4;46.1;27.96;97;Autres ES Effectif<11;;21;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;12;C11;Chirurgies autres de l'appareil locomoteur, amputations;964;4208;56.1;18.6;13.49;82;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;20;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;12;C11;Chirurgies autres de l'appareil locomoteur, amputations;964;4208;56.1;18.6;13.49;82;CENTRE SSR DU CHALONNAIS;Privé;15;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;12;C11;Chirurgies autres de l'appareil locomoteur, amputations;964;4208;56.1;18.6;13.49;82;CH WILLIAM MOREY CHALON SUR SAONE;CH;14;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;12;C11;Chirurgies autres de l'appareil locomoteur, amputations;964;4208;56.1;18.6;13.49;82;Autres ES Effectif<11;;33;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;14;X06;Rhumatologie;818;5404;66.0;38.1;27.38;81;CH WILLIAM MOREY CHALON SUR SAONE;CH;31;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;14;X06;Rhumatologie;818;5404;66.0;38.1;27.38;81;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;20;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;14;X06;Rhumatologie;818;5404;66.0;38.1;27.38;81;Autres ES Effectif<11;;30;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;28;X05;Traumatologie et ablation de matériel de l'appareil locomoteur;400;1626;62.4;45.3;19.25;78;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;33;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;28;X05;Traumatologie et ablation de matériel de l'appareil locomoteur;400;1626;62.4;45.3;19.25;78;CH WILLIAM MOREY CHALON SUR SAONE;CH;14;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;28;X05;Traumatologie et ablation de matériel de l'appareil locomoteur;400;1626;62.4;45.3;19.25;78;KORIAN LA BRESSANE;Privé;12;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;28;X05;Traumatologie et ablation de matériel de l'appareil locomoteur;400;1626;62.4;45.3;19.25;78;Autres ES Effectif<11;;19;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;4;X02;Hépato-Gastro-Entérologie;2107;10141;56.3;27.1;19.60;65;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;22;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;4;X02;Hépato-Gastro-Entérologie;2107;10141;56.3;27.1;19.60;65;CENTRE SSR DU CHALONNAIS;Privé;11;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;4;X02;Hépato-Gastro-Entérologie;2107;10141;56.3;27.1;19.60;65;Autres ES Effectif<11;;32;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;13;X12;Uro-Néphrologie médicale (hors Séances);908;4003;62.0;38.3;22.14;44;CH WILLIAM MOREY CHALON SUR SAONE;CH;15;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;13;X12;Uro-Néphrologie médicale (hors Séances);908;4003;62.0;38.3;22.14;44;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;11;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;13;X12;Uro-Néphrologie médicale (hors Séances);908;4003;62.0;38.3;22.14;44;Autres ES Effectif<11;;18;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;19;C07;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;688;2300;48.0;13.1;9.88;38;CENTRE SSR DU CHALONNAIS;Privé;25;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;19;C07;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;688;2300;48.0;13.1;9.88;38;Autres ES Effectif<11;;13;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;10;X20;Psychiatrie;1226;5477;47.9;22.6;11.83;37;CH WILLIAM MOREY CHALON SUR SAONE;CH;17;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;10;X20;Psychiatrie;1226;5477;47.9;22.6;11.83;37;Autres ES Effectif<11;;20;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;15;X16;Affections et traumatismes de la peau, gelures;744;3023;57.5;36.8;24.46;35;Autres ES Effectif<11;;35;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;17;X14;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;703;3822;66.8;39.5;25.75;33;Autres ES Effectif<11;;33;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;42;C06;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;196;2557;66.5;35.2;69.90;32;CENTRE SSR DU CHALONNAIS;Privé;12;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;42;C06;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;196;2557;66.5;35.2;69.90;32;Autres ES Effectif<11;;20;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;33;X19;Fièvre, Infection, Septicémie, VIH;310;1686;52.0;23.9;23.87;27;CH WILLIAM MOREY CHALON SUR SAONE;CH;15;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;33;X19;Fièvre, Infection, Septicémie, VIH;310;1686;52.0;23.9;23.87;27;Autres ES Effectif<11;;12;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;34;C14;Chirurgie vasculaire;305;1997;66.3;26.9;19.02;27;Autres ES Effectif<11;;27;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;27;C19;Chirurgie Urologique;411;1915;64.6;31.4;17.03;20;Autres ES Effectif<11;;20;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;24;X15;Diabète, Maladies métaboliques, Endocrinologie (hors complications);562;2694;49.8;22.2;19.57;16;Autres ES Effectif<11;;16;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;43;X18;Suivi thérap. d'affections connues, Allergologie, Rééducation, Convalescence;176;305;58.7;19.3;6.82;14;Autres ES Effectif<11;;14;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;20;X21;Effets nocifs, alcool, toxicologie, allergies;677;1957;41.9;3.4;5.47;13;Autres ES Effectif<11;;13;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;41;C25;Chirurgie inter spécialités;202;1611;57.7;24.8;30.20;13;Autres ES Effectif<11;;13;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;1;S01;Dialyse;13380;0;71.4;40.6;0.00;NA;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;2;S02;Chimiothérapie pour tumeur;6493;0;69.2;33.0;0.00;NA;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;6;N02;Aff. médicales des nouveau-nés, prématurés et de la période périnatale;1719;8276;0.0;0.0;1.69;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;8;S03;Chimiothérapie pour aff. Non tumorale;1607;0;52.3;12.4;0.00;NA;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;9;O01;Accouchements par voie basse;1273;4816;29.5;0.0;1.89;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;11;S05;Transfusion;982;0;74.0;55.3;0.00;NA;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;16;X23;Chimiothérapie (hors séances);708;1508;67.3;26.3;3.81;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;18;O04;Obstétrique autre;695;1244;30.1;0.0;0.58;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;22;K02;Endoscopies digestives et biliaires avec ou sans anesthésie;619;27;60.0;8.1;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;23;K05;Cathétérismes vasculaires diagnostiques et interventionnels;571;1577;65.1;26.6;8.76;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;25;O03;IVG;429;4;29.1;0.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;26;X24;Médecine inter spécialités, Autres symptômes ou motifs médicaux;412;558;56.7;28.2;1.46;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;29;X09;ORL, Stomato;385;801;39.4;14.8;7.79;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;30;C17;Chirurgie Gynécologique;374;926;48.5;8.0;3.21;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;31;O02;Césariennes;372;2245;30.5;0.0;6.99;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;32;K12;Explorations nocturnes, séjours de moins de 2 jours;335;335;54.3;6.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;35;C08;Chir. hépato-biliaire et pancréatique;277;1722;59.7;23.5;19.86;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;36;C20;Chirurgie de l'appareil génital masculin;258;889;51.5;19.0;12.40;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;37;C13;Stimulateurs, Défibrillateurs cardiaques;255;1130;77.9;59.6;9.02;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;38;X22;Douleur et soins palliatifs;250;1299;59.5;13.2;1.60;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;39;C16;Chirurgie Ophtalmologique et greffe de cornée;222;89;74.7;48.6;1.35;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;40;K10;Aff. génito-urinaires avec Acte classant non opératoire et endoscopies;205;22;57.5;10.7;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;44;X11;Gynécologie, Sénologie (hors Obstétrique);172;566;52.9;18.0;11.63;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;45;C15;Chirurgie ORL stomato;170;93;30.6;2.4;0.59;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;46;X10;Ophtalmologie;154;478;57.7;26.6;6.49;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;47;K06;Mise en place d'accès vasculaire;137;11;67.1;28.5;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;48;C18;Chirurgie du sein;131;335;63.9;24.4;1.53;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;49;X13;Appareil génital masculin;108;731;70.0;50.0;42.59;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;50;X04;Commotions cérébrales, Traumatismes crâniens;107;573;61.2;38.3;29.91;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;51;C10;Arthroscopies, Biopsies ostéo-articulaires;105;40;47.3;2.9;0.95;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;52;C21;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;59;379;61.6;20.3;28.81;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;53;C22;Chirurgie de la Thyroide, Parathyroide, du Tractus Thyréoglosse, endocrinologie;57;209;56.2;1.8;7.02;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;54;K13;Dialyse (hors Séances);57;691;67.3;40.4;43.86;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;55;K07;Endoscopies bronchiques, avec ou sans anesthésie;37;0;59.2;10.8;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;56;K08;Traumatologie avec acte classant non opératoire ou anesthésie;36;0;47.8;19.4;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;57;N03;Mort-nés, décès et transferts précoces de nouveau-nés;28;11;0.0;0.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;58;C23;Parages de plaies, Greffes de peau, des Tissus S/C;22;112;61.5;45.5;27.27;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;59;K09;ORL Stomato avec Acte classant non opératoire et endoscopies;18;2;48.4;5.6;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;60;K15;Autres séj. sans acte, avec anesthésie, en ambulatoire (Aff. myéloP., peau, sein...);17;0;40.4;0.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;61;X25;Traumatismes multiples graves;14;73;56.1;21.4;35.71;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH WILLIAM MOREY CHALON SUR SAONE;62;X17;Brûlures;12;78;31.6;16.7;16.67;0 à 10;;;;1;1
