Etablissement SSR ;Adresse;Latitude ;Longitude
CH DU PAYS CHAROLAIS BRIONNAIS ; Bd des Charmes;46,46453;4,10915
CH DU TONNEROIS ;Chem. des Jumeriaux;47,85624;3,97824
CH HCO SITE DE CHATILLON SUR SEINE;2 Rue Claude Petiet;47,86293;4,55916
CH HCO SITE DE MONTBARD ;24 Rue Auguste Carré;47,62472;4,34129
CH HCO SITE DE SAULIEU ;2 Rue Claude Courtepée;47,28214;4,22982
CH HENRI DUNANT LA CHARITE-SUR-LOIRE;29 Av. Henri Dunant;47,18436;3,01604
CH JEAN BOUVERI;Galuzot;46,65004;4,33223
CH JOIGNY ;3 Quai de l'Hôpital;47,9796;3,39609
CH LES CHANAUX MACON;277-233 Bd Louis Escande;46,31682;4,81493
CH LES MARRONNIERS;Pl. Claude Burgat;46,69141;4,13797
CH PAYS CHAROLAIS BRIONNAIS CHAROLLES ; 6 Rue du Prieuré;46,43282;4,2795
CH PAYS CHAROLAIS BRIONNAIS LA CLAYETTE ;19 r de L Hôpital;46,28863;4,30577
CH REG UNIVERSITAIRE DIJON ;2 Rue Jules Violle;47,3209;5,06874
CH SENS ;1 Av. Pierre de Coubertin;48,19259;3,29876
CH WILLIAM MOREY CHALON SUR SAONE;4 Rue Capitaine Drillien;46,77704;4,84036
CHIC AIN VAL DE SAONE - PONT VEYLE;1 Rue Pierre Goujon;46,26364;4,89037
CHIC AIN VAL DE SAONE - THOISSEY;1 Rue de L Hôpital;46,17272;4,80449
CHS Auxerre;4 Av. Pierre Scherrer;47,8049;3,56987
CHS SEVREY ;55 Rue Auguste Champion;46,7258;4,83061
CLINEA;41 Rue Jean Gautherin;47,00033;3,17019
CLINIQUE DU MORVAN SA;5 Av. Hoche;46,79006;3,97448
CMPR L'A.D.A.P.T. LOIRET;658 rue des bourgoins;47,99615;2,77068
CR LES ARBELLES;11 Rue du Maréchal Foch;46,19444;5,23219
CRF DIVIO ;12 Rue Saint-Vincent de Paul;47,30421;4,99828
CRF INSTITUT ASCLEPIADE;Les Terrasses de Baires;48,2929;4,13568
CRF LE BOURBONNAIS;7 Rue de la Roche;46,61661;3,76607
CRF PASORI;9 Ter Rue Franc Nohain;47,40457;2,9289
CROIX ROUGE FRANCAISE MIGENNES;29 av Cosmonautes;47,9646;3,511
CSSR LE RENOUVEAU;31 Rue Marceau;47,32858;5,04603
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN; 7 Rte des Conches;47,84421;3,57326
GCS PATCS CRRF PASTEUR 2;37 rue de la Marne;48,27693;4,07211
GCS PLAT AVAL TERR CHAMP SUD CRF PAST;5 Espl. Lucien Pechart;48,30355;4,06141
HL CHAGNY ;6 Rue de la Boutière;46,91027;4,75031
HL LES CYGNES LORMES;8 Rue du Panorama;47,29098;3,81536
HL R BONNION VILLENEUVE-SUR-YONNE;87-89 Rue Carnot;48,08436;3,29477
HÔPITAL LE BOCAGE CHRU DIJON;2 Bd du Maréchal de Lattre de Tassigny;47,31867;5,0556
HÔPITAL PIERRE BEREGOVOY;1 Av. Patrick Guillot;46,97985;3,12234
HÔPITAL PRIVÉ SAINTE MARIE;4 Rue Saint-Jean-des-Vignes;46,78721;4,85794
HOSPICES CIVILS DE BEAUNE;Av. Guigone de Salins;47,03271;4,83248
INSTITUT MEDICAL DE SOLOGNE ;1 bis Rue Cécile Boucher;47,59011;2,02788
KORIAN LA BRESSANE;460 Rue Centrale;46,48388;5,24488
KORIAN LE TINAILLER ;Rue des Lombards;46,35253;4,7946
LE RECONFORT;3 Le Réconfort;47,34534;3,67086
MAISON DE REPOS STE COLOMBE;10 Rue de l'Abbaye;48,21573;3,27179
MOYEN SEJOUR CH SENS ;5 Av. Pierre de Coubertin;48,1947;3,30047
MOYEN SEJOUR PIGNELIN;Rte de la Guesse;47,04321;3,14393
POLYCLINIQUE DU VAL DE SAONE;44 Rue Ambroise Paré;46,3173;4,81178
POLYCLINIQUE STE MARGUERITE;5 Av. de la Font Sainte-Marguerite;47,81213;3,56478
SA MAISON JOUVENCE;20 Rue des Alisiers;47,40975;5,00968
SSR EDITH CAVELL ;27 Av. Françoise Giroud;47,36094;5,05098
SSR MARGUERITE BOUCICAUT;2 Rue Pierre Mendès France;46,77502;4,84231
