Etablissement SSR ;Catégorie ;Code ;Groupe planification ;Provenance ;Effectif 
CH WILLIAM MOREY CHALON SUR SAONE;CH;X07;Affections Cardio-vasculaires ;CH WILLIAM MOREY CHALON SUR SAONE;26
CH WILLIAM MOREY CHALON SUR SAONE;CH;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";CH WILLIAM MOREY CHALON SUR SAONE;14
CH WILLIAM MOREY CHALON SUR SAONE;CH;X06;Rhumatologie ;CH WILLIAM MOREY CHALON SUR SAONE;31
CH WILLIAM MOREY CHALON SUR SAONE;CH;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";CH WILLIAM MOREY CHALON SUR SAONE;33
CH WILLIAM MOREY CHALON SUR SAONE;CH;X12;Uro-Néphrologie médicale (hors Séances);CH WILLIAM MOREY CHALON SUR SAONE;15
CH WILLIAM MOREY CHALON SUR SAONE;CH;X20 ;Psychiatrie ;CH WILLIAM MOREY CHALON SUR SAONE;17
CH WILLIAM MOREY CHALON SUR SAONE;CH;X19;Fièvre, Infection, Septicémie, VIH;CH WILLIAM MOREY CHALON SUR SAONE;15
CENTRE SSR DU CHALONNAIS ;Privé ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH WILLIAM MOREY CHALON SUR SAONE;35
CENTRE SSR DU CHALONNAIS ;Privé ;X08;Pneumologie ;CH WILLIAM MOREY CHALON SUR SAONE;12
CENTRE SSR DU CHALONNAIS ;Privé ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";CH WILLIAM MOREY CHALON SUR SAONE;15
CENTRE SSR DU CHALONNAIS ;Privé ;X02;Hépato-Gastro-Entérologie ;CH WILLIAM MOREY CHALON SUR SAONE;11
CENTRE SSR DU CHALONNAIS ;Privé ;C07;"Chir. Viscérale autre : rate, grêle, colon,
 proctologie, hernies";CH WILLIAM MOREY CHALON SUR SAONE;25
CENTRE SSR DU CHALONNAIS ;Privé ;C06;"Chir. Digestive majeure : oesophage, 
estomac, grêle, côlon, rectum";CH WILLIAM MOREY CHALON SUR SAONE;12
CENTRE SSR DU CHALONNAIS ;Privé ;C07;Chir. Viscérale;CH DU PAYS CHAROLAIS BRIONNAIS ;24
CENTRE SSR DU CHALONNAIS ;Privé ;C07;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;HOPITAL PRIVE DIJON BOURGOGNE;25
KORIAN LA BRESSANE ;Privé ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH WILLIAM MOREY CHALON SUR SAONE;25
KORIAN LA BRESSANE ;Privé ;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";CH WILLIAM MOREY CHALON SUR SAONE;12
CH JEAN BOUVERI ;CH;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH WILLIAM MOREY CHALON SUR SAONE;18
CH JEAN BOUVERI ;CH;X08;Pneumologie ;CH JEAN BOUVERI ;44
CH JEAN BOUVERI ;CH;X03;Neurologie médicale;CH JEAN BOUVERI ;46
CH JEAN BOUVERI ;CH;X07;Affections Cardio-vasculaires ;CH JEAN BOUVERI ;42
CH JEAN BOUVERI ;CH;X06;Rhumatologie ;CH JEAN BOUVERI ;31
CH JEAN BOUVERI ;CH;X20 ;Psychiatrie ;CH JEAN BOUVERI ;25
CH JEAN BOUVERI ;CH;X21;Effets nocifs, alcool, toxicologie, allergies;CH JEAN BOUVERI ;31
CH JEAN BOUVERI ;CH;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";CH JEAN BOUVERI ;24
CH JEAN BOUVERI ;CH;X16;Affections et traumatismes de la peau, gelures;CH JEAN BOUVERI ;24
CH JEAN BOUVERI ;CH;X02;Hépato-Gastro-Entérologie ;CH JEAN BOUVERI ;22
CH JEAN BOUVERI ;CH;X12;Uro-Néphrologie médicale (hors Séances);CH JEAN BOUVERI ;15
CH JEAN BOUVERI ;CH;X18;"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence";CH JEAN BOUVERI ;16
CH JEAN BOUVERI;CH;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HOTEL-DIEU DU CREUSOT;21
CH BELNAY;CH;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH WILLIAM MOREY CHALON SUR SAONE;13
CH BELNAY;CH;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH LES CHAUNAUX MACON;20
CH BELNAY;CH;X07;Affections Cardio-vasculaires;CH LES CHAUNAUX MACON;11
CH BELNAY;CH;X20 ;Psychiatrie ;CH BELNAY ;25
CH BELNAY;CH;X08;Pneumologie ;CH BELNAY ;22
CH BELNAY;CH;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";CH BELNAY ;19
SSR MARGUERITE BOUCICAUT;Privé ;X03;Neurologie médicale;CH WILLIAM MOREY CHALON SUR SAONE;133
SSR MARGUERITE BOUCICAUT;Privé ;X07;Affections Cardio-vasculaires ;CH WILLIAM MOREY CHALON SUR SAONE;26
SSR MARGUERITE BOUCICAUT;Privé ;X08;Pneumologie ;CH WILLIAM MOREY CHALON SUR SAONE;63
SSR MARGUERITE BOUCICAUT;Privé ;;;CH JEAN BOUVERI ;11
SSR MARGUERITE BOUCICAUT;Privé ;C04 ;"Chir. cardio-thoracique (hors transplant. d'organe), 
Pontages aorto-coronariens";HÔPITAL LE BOCAGE CHRU DIJON;39
CRF LE  BOURBONNAIS;PSPH/EBNL;X03;Neurologie médicale ;CH WILLIAM MOREY CHALON SUR SAONE;14
CRF LE BOURBONNAIS;PSPH/EBNL;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH DU PAYS CHAROLAIS BRIONNAIS ;31
CRF LE  BOURBONNAIS;PSPH/EBNL;X03;Neurologie médicale ;CH DU PAYS CHAROLAIS BRIONNAIS ;11
CRF LE BOURBONNAIS;PSPH/EBNL;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CLINIQUE DU PARC ;12
CRF LE BOURBONNAIS;PSPH/EBNL;C02;Chirurgie du rachis, Neuro-chirurgie;HOPITAL PRIVE DIJON BOURGOGNE;11
CH BRESSE LOUHANNAISE;CH;X03;Neurologie médicale ;CH BRESSE LOUHANNAISE;17
CH BRESSE LOUHANNAISE;CH;X08;Pneumologie ;CH BRESSE LOUHANNAISE;12
CH BRESSE LOUHANNAISE;CH;X07;Affections Cardio-vasculaires ;CH BRESSE LOUHANNAISE;11
CH DE LA GUICHE ;CH ;X08;Pneumologie ;CH JEAN BOUVERI ;43
CH DE LA GUICHE;CH;X08;Pneumologie ;HOTEL-DIEU DU CREUSOT;20
AIHP CENTRE ARMANCON;PSPH/EBNL;X21;Effets nocifs, alcool, toxicologie, allergies;CHS AUXERRE;30
CSSR LE RENOUVEAU;Privé;X21;Effets nocifs, alcool, toxicologie, allergies;CHS AUXERRE;13
CSSR LE RENOUVEAU;Privé;X21;Effets nocifs, alcool, toxicologie, allergies;CH LA CHARTREUSE ;12
LE RECONFORT;Privé ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH AUXERRE ;39
LE RECONFORT;Privé ;X07;Affections Cardio-vasculaires ;CH CLAMECY;25
LE RECONFORT;Privé ;X08;Pneumologie ;CH CLAMECY;21
LE RECONFORT;Privé ;X03;Neurologie médicale;CH CLAMECY;20
LE RECONFORT;Privé ;X06;Rhumatologie ;CH CLAMECY;18
LE RECONFORT;Privé ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HÔPITAL PIERRE BEREGOVOY;14
CH AUXERRE;CH;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH AUXERRE;62
CH AUXERRE;CH;X08;Pneumologie ;CH AUXERRE;36
CH AUXERRE;CH;X03;Neurologie médicale;CH AUXERRE;80
CH AUXERRE;CH;X07;Affections Cardio-vasculaires ;CH AUXERRE;70
CH AUXERRE;CH;X02;Hépato-Gastro-Entérologie ;CH AUXERRE;31
CH AUXERRE;CH;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";CH AUXERRE;17
CH AUXERRE;CH;X06;Rhumatologie ;CH AUXERRE;42
CH AUXERRE;CH;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";CH AUXERRE;34
CH AUXERRE;CH;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";CH AUXERRE;37
CH AUXERRE;CH;X16;Affections et traumatismes de la peau, gelures;CH AUXERRE;26
CH AUXERRE;CH;X12;Uro-Néphrologie médicale (hors Séances);CH AUXERRE;17
CH AUXERRE;CH;X20;Psychiatrie ;CH AUXERRE;22
CH AUXERRE;CH;X15;"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)";CH AUXERRE;18
CH AUXERRE;CH;X04;Commotions cérébrales, Traumatismes crâniens;CH AUXERRE;12
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH AUXERRE;53
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X08;Pneumologie ;CH AUXERRE;79
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X03;Neurologie médicale;CH AUXERRE;32
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X07;Affections Cardio-vasculaires ;CH AUXERRE;27
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X02;Hépato-Gastro-Entérologie ;CH AUXERRE;34
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";CH AUXERRE;17
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X06;Rhumatologie ;CH AUXERRE;17
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";CH AUXERRE;22
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X23;Chimithérapie (hors séances) ;CH AUXERRE;28
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X16;Affections et traumatismes de la peau, gelures;CH AUXERRE;11
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X12;Uro-Néphrologie médicale (hors Séances);CH AUXERRE;13
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X20;Psychiatrie ;CH AUXERRE;11
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X03;Neurologie médicale;CH SENS ;11
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X08 ;Pneumologie ;CH JOIGNY ;27
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;X06;Rhumatologie ;CH JOIGNY ;11
ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";POLYCLINIQUE STE MARGUERITE;12
CH AVALLON ;CH ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH AUXERRE;25
CH AVALLON ;CH ;X06;Rhumatologie ;CH AVALLON ;26
CH AVALLON ;CH ;X07;Affections Cardio-vasculaires ;CH AVALLON ;21
CH AVALLON ;CH ;X08;Pneumologie ;CH AVALLON ;21
CH AVALLON ;CH ;X03;Neurologie médicale;CH AVALLON ;12
CH AVALLON ;CH ;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";CH AVALLON ;14
CH AVALLON ;CH ;X20;Psychiatrie ;CH AVALLON ;14
CH AVALLON ;CH ;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";CH AVALLON ;12
CH DU TONNERROIS;CH;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH AUXERRE;24
CH DU TONNERROIS;CH;X03;Neurologie médicale;CH DU TONNERROIS;22
CH DU TONNERROIS;CH;X06;Rhumatologie ;CH DU TONNERROIS;23
CH DU TONNERROIS;CH;X08;Pneumologie ;CH DU TONNERROIS;18
CH DU TONNERROIS;CH;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";CH DU TONNERROIS;16
CH DU TONNERROIS;CH;X07;Affections Cardio-vasculaires ;CH DU TONNERROIS;13
CH DU TONNERROIS;CH;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH SENS ;18
CH DU TONNERROIS;CH;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";POLYCLINIQUE STE MARGUERITE;14
CH DU TONNERROIS;CH;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HOPITAL PRIVE DIJON BOURGOGNE;23
CH DU TONNERROIS;CH;C02;Chirurgie du rachis, Neuro-chirurgie;HOPITAL PRIVE DIJON BOURGOGNE;28
CENTRE MEDICAL DE LA VENERIE ;Privé ;X08;Pneumologie ;CH CLAMECY;11
CENTRE MEDICAL DE LA VENERIE ;Privé ;X21;Effets nocifs, alcool, toxicologie, allergies;CH DECIZE;17
CENTRE MEDICAL DE LA VENERIE ;Privé ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HÔPITAL PIERRE BEREGOVOY;56
CENTRE MEDICAL DE LA VENERIE ;Privé ;X08;Pneumologie ;HÔPITAL PIERRE BEREGOVOY;11
CENTRE MEDICAL DE LA VENERIE ;Privé ;X07;Affections Cardio-vasculaires ;HÔPITAL PIERRE BEREGOVOY;28
CENTRE MEDICAL DE LA VENERIE ;Privé ;X02;Hépato-Gastro-Entérologie ;HÔPITAL PIERRE BEREGOVOY;13
CENTRE MEDICAL DE LA VENERIE ;Privé ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";HÔPITAL PIERRE BEREGOVOY;16
CENTRE MEDICAL DE LA VENERIE ;Privé ;X05 ;"
Traumatologie et ablation de matériel de l'appareil locomoteur";HÔPITAL PIERRE BEREGOVOY;13
CENTRE MEDICAL DE LA VENERIE ;Privé ;X21;Effets nocifs, alcool, toxicologie, allergies;HÔPITAL PIERRE BEREGOVOY;13
CENTRE MEDICAL DE LA VENERIE ;Privé ;K05;"Cathétérismes vasculaires diagnostiques
 et interventionnels";HÔPITAL PIERRE BEREGOVOY;13
CH REG UNIVERSITAIRE DIJON ;CHR/U ;X08;Pneumologie ;CH REG UNIVERSITAIRE DIJON ;90
CH REG UNIVERSITAIRE DIJON ;CHR/U ;X07;Affections Cardio-vasculaires ;CH REG UNIVERSITAIRE DIJON ;68
CH REG UNIVERSITAIRE DIJON ;CHR/U ;X20 ;Psychiatrie ;CH REG UNIVERSITAIRE DIJON ;59
CH REG UNIVERSITAIRE DIJON ;CHR/U ;X03 ;Neurologie médicale ;CH REG UNIVERSITAIRE DIJON ;49
CH REG UNIVERSITAIRE DIJON ;CHR/U ;X06 ;Rhumatologie ;CH REG UNIVERSITAIRE DIJON ;36
CH REG UNIVERSITAIRE DIJON ;CHR/U ;X02 ;Hépato-Gastro-Entérologie ;CH REG UNIVERSITAIRE DIJON ;34
CH REG UNIVERSITAIRE DIJON ;CHR/U ;X12 ;Uro-Néphrologie médicale (hors Séances);CH REG UNIVERSITAIRE DIJON ;21
CH REG UNIVERSITAIRE DIJON ;CHR/U ;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";CH REG UNIVERSITAIRE DIJON ;13
SSR EDITH CAVELL ;Privé ;X07;Affections Cardio-vasculaires ;CH REG UNIVERSITAIRE DIJON ;22
SSR EDITH CAVELL ;Privé ;X20 ;Psychiatrie ;CH REG UNIVERSITAIRE DIJON ;23
SSR EDITH CAVELL ;Privé ;X03 ;Neurologie médicale ;CH REG UNIVERSITAIRE DIJON ;14
SSR EDITH CAVELL ;Privé ;X06 ;Rhumatologie ;CH REG UNIVERSITAIRE DIJON ;12
SSR EDITH CAVELL ;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HÔPITAL LE BOCAGE CHRU DIJON;30
SSR EDITH CAVELL ;Privé ;X08 ;Pneumologie ;HÔPITAL LE BOCAGE CHRU DIJON;37
SSR EDITH CAVELL ;Privé ;X03 ;Neurologie médicale ;HÔPITAL LE BOCAGE CHRU DIJON;15
SSR EDITH CAVELL ;Privé ;X06 ;Rhumatologie ;HÔPITAL LE BOCAGE CHRU DIJON;20
SSR EDITH CAVELL ;Privé ;X07 ;Affections Cardio-vasculaires ;HÔPITAL LE BOCAGE CHRU DIJON;26
SSR EDITH CAVELL ;Privé ;X02 ;Hépato-Gastro-Entérologie ;HÔPITAL LE BOCAGE CHRU DIJON;23
SSR EDITH CAVELL ;Privé ;X12 ;Uro-Néphrologie médicale (hors Séances);HÔPITAL LE BOCAGE CHRU DIJON;13
SSR EDITH CAVELL ;Privé ;C06;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;HÔPITAL LE BOCAGE CHRU DIJON;23
SSR EDITH CAVELL ;Privé ;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";HÔPITAL LE BOCAGE CHRU DIJON;12
SSR EDITH CAVELL;Privé;X08;Pneumologie ;CLINIQUE MEDICO-CHIRURGICALE;20
SSR EDITH CAVELL;Privé;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CLINIQUE MEDICO-CHIRURGICALE;13
SSR EDITH CAVELL;Privé;C07;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;CLINIQUE MEDICO-CHIRURGICALE;16
SSR EDITH CAVELL;Privé;X02;Hépato-Gastro-Entérologie;CLINIQUE MEDICO-CHIRURGICALE;13
SSR EDITH CAVELL;Privé;C19;Chirurgie Urologique;CLINIQUE MEDICO-CHIRURGICALE;11
SSR EDITH CAVELL;Privé;X03;Neurologie médicale;CLINIQUE MEDICO-CHIRURGICALE;11
SSR EDITH CAVELL;Privé;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HOPITAL PRIVE DIJON BOURGOGNE;44
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HÔPITAL LE BOCAGE CHRU DIJON;86
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;X08 ;Pneumologie ;HÔPITAL LE BOCAGE CHRU DIJON;67
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;X03 ;Neurologie médicale ;HÔPITAL LE BOCAGE CHRU DIJON;85
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";HÔPITAL LE BOCAGE CHRU DIJON;43
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;C02 ;Chirugie du rachis, Neuro-chirurgie ;HÔPITAL LE BOCAGE CHRU DIJON;33
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;C04 ;"Chir. cardio-thoracique (hors transplant. d'organe), 
Pontages aorto-coronariens";HÔPITAL LE BOCAGE CHRU DIJON;37
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;X06 ;Rhumatologie ;HÔPITAL LE BOCAGE CHRU DIJON;15
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;X07 ;Affections Cardio-vasculaires ;HÔPITAL LE BOCAGE CHRU DIJON;18
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;K05;"Cathétérismes vasculaires diagnostiques
 et interventionnels";HÔPITAL LE BOCAGE CHRU DIJON;25
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;X12 ;Uro-Néphrologie médicale (hors Séances);HÔPITAL LE BOCAGE CHRU DIJON;12
HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;C14;Chirurgie vasculaire ;HÔPITAL LE BOCAGE CHRU DIJON;12
C.R.B LES ROSIERS ;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HÔPITAL LE BOCAGE CHRU DIJON;74
C.R.B LES ROSIERS ;Privé ;X08 ;Pneumologie ;HÔPITAL LE BOCAGE CHRU DIJON;22
C.R.B LES ROSIERS ;Privé ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";HÔPITAL LE BOCAGE CHRU DIJON;26
C.R.B LES ROSIERS ;Privé ;X06 ;Rhumatologie ;HÔPITAL LE BOCAGE CHRU DIJON;13
C.R.B LES ROSIERS ;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";POLYCLINIQUE DU PARC DREVON;11
C.R.B LES ROSIERS ;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HOPITAL PRIVE DIJON BOURGOGNE;269
C.R.B LES ROSIERS ;Privé ;C02;Chirurgie du rachis, Neuro-chirurgie;HOPITAL PRIVE DIJON BOURGOGNE;17
C.R.B LES ROSIERS ;Privé ;C11;Chirurgies autres de l'appareil locomoteur, amputations;HOPITAL PRIVE DIJON BOURGOGNE;26
C.R.B LES ROSIERS ;Privé ;C10 ;Arthroscopies, Biopsies ostéo-articulaires;HOPITAL PRIVE DIJON BOURGOGNE;30
CENTRE DE CONVALESCENCE ;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HÔPITAL LE BOCAGE CHRU DIJON;55
CENTRE DE CONVALESCENCE ;Privé ;X08 ;Pneumologie ;HÔPITAL LE BOCAGE CHRU DIJON;46
CENTRE DE CONVALESCENCE ;Privé ;X03 ;Neurologie médicale ;HÔPITAL LE BOCAGE CHRU DIJON;13
CENTRE DE CONVALESCENCE ;Privé ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";HÔPITAL LE BOCAGE CHRU DIJON;13
CENTRE DE CONVALESCENCE ;Privé ;X06 ;Rhumatologie ;HÔPITAL LE BOCAGE CHRU DIJON;22
CENTRE DE CONVALESCENCE ;Privé ;X07 ;Affections Cardio-vasculaires ;HÔPITAL LE BOCAGE CHRU DIJON;28
CENTRE DE CONVALESCENCE ;Privé ;X02 ;Hépato-Gastro-Entérologie ;HÔPITAL LE BOCAGE CHRU DIJON;17
CENTRE DE CONVALESCENCE ;Privé ;X12 ;Uro-Néphrologie médicale (hors Séances);HÔPITAL LE BOCAGE CHRU DIJON;12
CENTRE DE CONVALESCENCE ;Privé ;X05 ;"
Traumatologie et ablation de matériel de l'appareil locomoteur";HÔPITAL LE BOCAGE CHRU DIJON;17
CENTRE DE CONVALESCENCE ;Privé ;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";HÔPITAL LE BOCAGE CHRU DIJON;13
CENTRE DE CONVALESCENCE ;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HOPITAL PRIVE DIJON BOURGOGNE;33
CENTRE DE CONVALESCENCE ;Privé ;C02;Chirurgie du rachis, Neuro-chirurgie;HOPITAL PRIVE DIJON BOURGOGNE;16
CRF DIVIO ;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HÔPITAL LE BOCAGE CHRU DIJON;46
CRF DIVIO ;Privé ;X08 ;Pneumologie ;HÔPITAL LE BOCAGE CHRU DIJON;12
CRF DIVIO ;Privé ;X03 ;Neurologie médicale ;HÔPITAL LE BOCAGE CHRU DIJON;43
CRF DIVIO ;Privé ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";HÔPITAL LE BOCAGE CHRU DIJON;23
CRF DIVIO ;Privé ;C02 ;Chirugie du rachis, Neuro-chirurgie ;HÔPITAL LE BOCAGE CHRU DIJON;24
CRF DIVIO ;Privé ;C12;Traumatismes multiples graves;HÔPITAL LE BOCAGE CHRU DIJON;14
CRF DIVIO;Privé;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";POLYCLINIQUE DU PARC DREVON;12
CRF DIVIO;Privé;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HOPITAL PRIVE DIJON BOURGOGNE;141
SA MAISON JOUVENCE;Privé ;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";HÔPITAL LE BOCAGE CHRU DIJON;16
SA MAISON JOUVENCE;Privé ;X08 ;Pneumologie ;HÔPITAL LE BOCAGE CHRU DIJON;34
SA MAISON JOUVENCE;Privé ;X03 ;Neurologie médicale ;HÔPITAL LE BOCAGE CHRU DIJON;15
